product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Сливки,2899,171,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2003-02-02,2014-02-07,1.4,New
2,Мягкие игрушки,4107,284,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2016-02-01,2030-04-01,1.14,Sold
3,Маринад для мяса,9658,915,Бакалея,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1994-04-02,2023-04-11,3.52,Sold
4,Пакеты для Всемирного дня воды,9777,973,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2001-02-06,2029-02-01,2.61,In Stock
5,Пепперони,9356,477,Мясо,Помогает укреплять стенки сосудов и улучшать кровообращение.,1999-07-27,2014-01-23,4.36,In Stock
6,Чечевица,6224,61,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2009-07-04,2029-04-14,4.49,Backorder
7,Adrenaline Rush,583,22,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2001-01-04,2010-08-17,3.96,Sold
8,Пакеты для Нового года,642,582,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",1991-01-14,2021-04-26,2.3,Available for Pickup
9,Vittel,7336,212,Напитки,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1992-01-10,2002-11-19,4.42,Backorder
10,Кофеварка,2068,553,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1996-03-20,2024-04-11,0.37,Backorder
11,Пастила,1438,939,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2007-06-02,2017-05-02,3.39,Awaiting Review
12,Тоник,4759,619,Напитки,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2021-05-07,2022-06-11,1.27,In Stock
13,Спаржа,3010,870,Овощи,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2006-02-24,2013-04-08,0.99,Sold
14,Пищевая пленка,1673,886,Товары для дома,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2012-01-13,2012-06-20,0.46,Shipping
15,Пакеты для животных,4746,291,Товары для дома,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2016-03-06,2024-02-01,2.43,On Backorder
16,Разрыхлитель теста,1328,634,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2022-05-09,2028-03-06,1.16,Awaiting Review
17,Тульская,6485,974,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2009-02-10,2011-02-14,2.26,New
18,Куриные голени,489,790,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1993-08-06,2029-09-19,1.99,Refunded
19,Сыр,2249,966,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1994-04-09,2018-03-02,0.49,Sold
20,Каша из дробленной булгурной крупы,4366,771,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,1991-08-11,2023-04-01,1.03,Backorder
21,Рис,3440,924,Бакалея,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2007-01-03,2029-08-02,1.89,Backorder
