Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Капуста белокочанная,8975,177,Овощи,Отличается удобством использования и экономичностью в расходе.,1998-01-18,2009-04-07,4.62,New
2,Зира молотая,5786,377,Бакалея,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2001-03-05,2008-04-08,4.59,On Backorder
3,Моцарелла,7690,220,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2014-01-02,2029-01-07,4.75,Shipping
4,Апельсин,8734,449,Фрукты,Отличается простотой в использовании и хранении.,1997-03-08,1998-02-19,4.35,On Backorder
5,Читинская,2844,906,Напитки,Подходит для использования в рецептах традиционной кухни разных стран.,1994-12-01,2003-02-04,4.28,Awaiting Review
6,Биточки,4179,336,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2000-02-01,2010-03-01,2.68,Awaiting Payment
7,Грейпфрут,9250,26,Фрукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2021-05-01,2029-03-03,0.31,Temporarily Unavailable
8,Яблоко,464,584,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,2022-01-02,2028-05-09,3.51,Cancelled
9,Творог,7378,805,Молочные продукты,Может использоваться в косметических процедурах для увлажнения кожи.,2010-05-01,2030-03-28,4.6,Backorder
10,Оленина,4920,528,Мясо,Является неотъемлемой частью рациона многих народов мира.,2016-05-01,2017-03-01,1.31,Pending
11,Пшено,5773,712,Бакалея,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2004-02-05,2008-05-09,3.98,Pending
12,Анис звездчатый,9640,322,Бакалея,Помогает поддерживать нормальный уровень артериального давления.,1996-01-10,2005-02-11,1.05,Backorder
13,Ряженка,2242,951,Молочные продукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-04-02,2008-07-03,3.3,Cancelled
14,Помело,7681,41,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2000-03-12,2002-01-07,4.62,Awaiting Review
15,Блендер,4143,562,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-08-08,2012-02-01,3.15,Delivered
16,Прошутто,2762,32,Мясо,Отличается высокими показателями усвояемости организмом.,2018-06-23,2019-01-03,4.5,New
17,Каша из дробленной кукурузной крупы,3703,713,Бакалея,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1995-03-04,2015-03-10,2.33,Out of Stock
18,Топлёное молоко,985,772,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2007-02-27,2013-05-07,1.56,Cancelled
